data;ID_motorista;mapa;caixas
2025-03-01;162;278557;4
2025-03-01;80;278572;5
2025-03-01;216;278571;9
2025-03-01;675;278570;7
2025-03-01;453;278552;33
2025-03-01;544;278553;1
2025-03-01;41;278558;1
2025-03-01;159;278565;15
2025-03-01;146;278554;11
2025-03-01;113;278567;4
2025-03-01;159;278565;27
2025-03-01;162;278557;4
2025-03-01;453;278552;3
2025-03-01;675;278570;1
2025-03-01;216;278571;3
2025-03-01;192;278556;50
2025-03-01;162;278557;6
2025-03-01;113;278567;3
2025-03-01;146;278554;3
2025-03-01;27;278564;11
2025-03-01;341;278568;3
2025-03-01;665;278561;34
2025-03-01;80;278572;3
2025-03-01;146;278554;2
2025-03-01;27;278564;3
2025-03-01;113;278567;3
2025-03-01;544;278553;1
2025-03-01;81;278569;2
2025-03-01;219;278559;29
2025-03-01;192;278556;1
2025-03-01;665;278561;52
2025-03-01;146;278554;1
2025-03-01;98;278562;37
2025-03-01;80;278572;3
2025-03-01;341;278568;3
2025-03-01;27;278564;4
2025-03-01;113;278567;11
2025-03-01;80;278572;4
2025-03-01;341;278568;2
2025-03-01;146;278554;2
2025-03-01;162;278557;4
2025-03-01;341;278568;2
2025-03-01;502;278566;16
2025-03-01;502;278566;4
2025-03-01;502;278566;18
2025-03-01;113;278567;5
2025-03-01;81;278569;10
2025-03-01;675;278570;7
2025-03-01;113;278567;2
2025-03-01;502;278566;2
2025-03-01;216;278571;7
2025-03-01;80;278572;3
2025-03-01;81;278569;7
2025-03-01;113;278567;5
2025-03-01;216;278571;1
2025-03-01;192;278556;13
2025-03-01;80;278572;3
2025-03-01;113;278567;1
2025-03-01;544;278553;10
2025-03-01;341;278568;11
2025-03-01;80;278572;1
2025-03-01;113;278567;11
2025-03-01;81;278569;1
2025-03-01;80;278572;3
2025-03-01;27;278564;6
2025-03-01;675;278570;3
2025-03-01;159;278565;4
2025-03-01;159;278565;10
2025-03-01;502;278566;19
2025-03-01;80;278572;4
2025-03-01;81;278569;1
2025-03-01;113;278567;1
2025-03-01;502;278566;5
2025-03-01;219;278559;24
2025-03-01;675;278570;17
2025-03-01;341;278568;14
2025-03-01;27;278564;8
2025-03-01;341;278568;1
2025-03-01;159;278565;5
2025-03-01;80;278572;6
2025-03-01;341;278568;1
2025-03-01;502;278566;3
2025-03-01;192;278556;27
2025-03-01;81;278569;26
2025-03-01;80;278572;9
2025-03-01;27;278564;4
2025-03-01;27;278564;14
2025-03-01;192;278556;1
2025-03-01;80;278572;4
2025-03-01;341;278568;8
2025-03-01;502;278566;13
2025-03-01;80;278572;1
2025-03-01;675;278570;6
2025-03-01;159;278565;3
2025-03-01;159;278565;2
2025-03-01;159;278565;8
2025-03-01;216;278571;8
2025-03-01;41;278558;6
2025-03-01;159;278565;2
2025-03-01;80;278572;8
2025-03-01;502;278566;7
2025-03-01;341;278568;12
2025-03-01;341;278568;13
2025-03-01;675;278570;2
2025-03-01;216;278571;15
2025-03-01;341;278568;1
2025-03-01;81;278569;1
2025-03-01;41;278558;6
2025-03-01;502;278566;1
2025-03-01;80;278572;2
2025-03-01;81;278569;1
2025-03-01;675;278570;1
2025-03-01;81;278569;2
2025-03-01;80;278572;1
2025-03-01;675;278570;1
2025-03-01;216;278571;8
2025-03-01;41;278558;1
2025-03-01;502;278566;9
2025-03-01;675;278570;2
2025-03-01;675;278570;2
2025-03-01;675;278570;12
2025-03-01;41;278558;1
2025-03-01;216;278571;4
2025-03-01;41;278558;3
2025-03-01;159;278565;9
2025-03-01;159;278565;7
2025-03-01;81;278569;6
